,Car Brand,Model,Image_url,Car
84,BMW, X5 M,https://media.ed.edmunds-media.com/bmw/x5-m/2021/oem/2021_bmw_x5-m_4dr-suv_base_fq_oem_1_815.jpg,BMW  X5 M
85,BMW, X6,https://media.ed.edmunds-media.com/bmw/x6/2020/oem/2020_bmw_x6_4dr-suv_m50i_fq_oem_6_815.jpg,BMW  X6
86,BMW, X6 M,https://media.ed.edmunds-media.com/bmw/x6-m/2021/oem/2021_bmw_x6-m_4dr-suv_base_fq_oem_1_815.jpg,BMW  X6 M
87,BMW, X7,https://media.ed.edmunds-media.com/bmw/x7/2023/oem/2023_bmw_x7_4dr-suv_m60i_fq_oem_1_815.jpg,BMW  X7
88,BMW, Z4,https://media.ed.edmunds-media.com/bmw/z4/2023/oem/2023_bmw_z4_convertible_m40i_fq_oem_1_815.jpg,BMW  Z4
89,Buick, Enclave,https://media.ed.edmunds-media.com/buick/enclave/2022/oem/2022_buick_enclave_4dr-suv_avenir_fq_oem_1_815.jpg,Buick  Enclave
90,Buick, Encore,https://media.ed.edmunds-media.com/buick/encore/2021/oem/2021_buick_encore_4dr-suv_preferred_fq_oem_1_815.jpg,Buick  Encore
91,Buick, Encore GX,https://media.ed.edmunds-media.com/buick/encore-gx/2021/oem/2021_buick_encore-gx_4dr-suv_essence_fq_oem_1_815.jpg,Buick  Encore GX
92,Buick, Envision,https://media.ed.edmunds-media.com/buick/envision/2021/oem/2021_buick_envision_4dr-suv_avenir_fq_oem_1_815.jpg,Buick  Envision
93,Cadillac, CT4,https://media.ed.edmunds-media.com/cadillac/ct4/2023/oem/2023_cadillac_ct4_sedan_premium-luxury_fq_oem_1_815.jpg,Cadillac  CT4
94,Cadillac, CT4-V Blackwing,https://media.ed.edmunds-media.com/cadillac/ct4-v-blackwing/2022/oem/2022_cadillac_ct4-v-blackwing_sedan_base_fq_oem_1_815.jpg,Cadillac  CT4-V Blackwing
95,Cadillac, CT5,https://media.ed.edmunds-media.com/cadillac/ct5/2023/oem/2023_cadillac_ct5_sedan_premium-luxury_fq_oem_1_815.jpg,Cadillac  CT5
96,Cadillac, CT5-V Blackwing,https://media.ed.edmunds-media.com/cadillac/ct5-v-blackwing/2022/oem/2022_cadillac_ct5-v-blackwing_sedan_base_fq_oem_1_815.jpg,Cadillac  CT5-V Blackwing
97,Cadillac, Escalade,https://media.ed.edmunds-media.com/cadillac/escalade/2023/oem/2023_cadillac_escalade_4dr-suv_v_fq_oem_2_815.jpg,Cadillac  Escalade
98,Cadillac, Escalade ESV,https://media.ed.edmunds-media.com/cadillac/escalade/2023/oem/2023_cadillac_escalade_4dr-suv_v_fq_oem_2_815.jpg,Cadillac  Escalade ESV
99,Cadillac, LYRIQ,https://media.ed.edmunds-media.com/cadillac/lyriq/2023/oem/2023_cadillac_lyriq_4dr-suv_luxury_fq_oem_1_815.jpg,Cadillac  LYRIQ
100,Cadillac, XT4,https://media.ed.edmunds-media.com/cadillac/xt4/2022/oem/2022_cadillac_xt4_4dr-suv_premium-luxury_fq_oem_1_815.jpg,Cadillac  XT4
101,Cadillac, XT5,https://media.ed.edmunds-media.com/cadillac/xt5/2021/oem/2021_cadillac_xt5_4dr-suv_premium-luxury_fq_oem_1_815.jpg,Cadillac  XT5
102,Cadillac, XT6,https://media.ed.edmunds-media.com/cadillac/xt6/2021/oem/2021_cadillac_xt6_4dr-suv_luxury_fq_oem_1_815.jpg,Cadillac  XT6
103,Chevy, Blazer,https://media.ed.edmunds-media.com/chevrolet/blazer/2023/oem/2023_chevrolet_blazer_4dr-suv_rs_fq_oem_1_815.jpg,Chevy  Blazer
104,Chevy, Bolt EUV,https://media.ed.edmunds-media.com/chevrolet/bolt-euv/2023/oem/2023_chevrolet_bolt-euv_4dr-hatchback_premier_fq_oem_1_815.jpg,Chevy  Bolt EUV
105,Chevy, Bolt EV,https://media.ed.edmunds-media.com/chevrolet/bolt-ev/2023/oem/2023_chevrolet_bolt-ev_4dr-hatchback_2lt_fq_oem_1_815.jpg,Chevy  Bolt EV
106,Chevy, Camaro,https://media.ed.edmunds-media.com/chevrolet/camaro/2022/oem/2022_chevrolet_camaro_coupe_2ss_fq_oem_1_815.jpg,Chevy  Camaro
107,Chevy, Colorado,https://media.ed.edmunds-media.com/chevrolet/colorado/2023/oem/2023_chevrolet_colorado_crew-cab-pickup_lt_fq_oem_1_815.jpg,Chevy  Colorado
108,Chevy, Corvette,https://media.ed.edmunds-media.com/chevrolet/corvette/2023/oem/2023_chevrolet_corvette_coupe_stingray_fq_oem_1_815.jpg,Chevy  Corvette
109,Chevy, Equinox,https://media.ed.edmunds-media.com/chevrolet/equinox/2022/oem/2022_chevrolet_equinox_4dr-suv_premier_fq_oem_1_815.jpg,Chevy  Equinox
110,Chevy, Express,https://media.ed.edmunds-media.com/chevrolet/express/2017/oem/2017_chevrolet_express_passenger-van_lt-3500_fq_oem_1_815.jpg,Chevy  Express
111,Chevy, Express Cargo,https://media.ed.edmunds-media.com/chevrolet/express-cargo/2017/oem/2017_chevrolet_express-cargo_cargo-van_2500_fq_oem_1_815.jpg,Chevy  Express Cargo
112,Chevy, Malibu,https://media.ed.edmunds-media.com/chevrolet/malibu/2021/oem/2021_chevrolet_malibu_sedan_rs_fq_oem_1_815.jpg,Chevy  Malibu
113,Chevy, Silverado 1500,https://media.ed.edmunds-media.com/chevrolet/silverado-1500/2023/oem/2023_chevrolet_silverado-1500_crew-cab-pickup_high-country_fq_oem_1_815.jpg,Chevy  Silverado 1500
114,Chevy, Silverado 1500 Limited,https://media.ed.edmunds-media.com/chevrolet/silverado-1500-limited/2022/oem/2022_chevrolet_silverado-1500-limited_crew-cab-pickup_custom_fq_oem_1_815.jpg,Chevy  Silverado 1500 Limited
115,Chevy, Silverado 2500HD,https://media.ed.edmunds-media.com/chevrolet/silverado-2500hd/2020/oem/2020_chevrolet_silverado-2500hd_crew-cab-pickup_custom_f_oem_3_815.jpg,Chevy  Silverado 2500HD
116,Chevy, Silverado 3500HD,https://media.ed.edmunds-media.com/chevrolet/silverado-3500hd/2020/oem/2020_chevrolet_silverado-3500hd_crew-cab-pickup_high-country_fq_oem_1_815.jpg,Chevy  Silverado 3500HD
117,Chevy, Spark,https://media.ed.edmunds-media.com/chevrolet/spark/2021/oem/2021_chevrolet_spark_4dr-hatchback_2lt_fq_oem_1_815.jpg,Chevy  Spark
118,Chevy, Suburban,https://media.ed.edmunds-media.com/chevrolet/suburban/2022/oem/2022_chevrolet_suburban_4dr-suv_high-country_fq_oem_1_815.jpg,Chevy  Suburban
119,Chevy, Tahoe,https://media.ed.edmunds-media.com/chevrolet/tahoe/2022/oem/2022_chevrolet_tahoe_4dr-suv_high-country_fq_oem_1_815.jpg,Chevy  Tahoe
120,Chevy, Trailblazer,https://media.ed.edmunds-media.com/chevrolet/trailblazer/2023/oem/2023_chevrolet_trailblazer_4dr-suv_activ_fq_oem_1_815.jpg,Chevy  Trailblazer
121,Chevy, Traverse,https://media.ed.edmunds-media.com/chevrolet/traverse/2022/oem/2022_chevrolet_traverse_4dr-suv_high-country_fq_oem_1_815.jpg,Chevy  Traverse
122,Chevy, Trax,https://media.ed.edmunds-media.com/chevrolet/trax/2024/oem/2024_chevrolet_trax_4dr-suv_2rs_fq_oem_1_815.jpg,Chevy  Trax
123,Chrysler, 300,https://media.ed.edmunds-media.com/chrysler/300/2023/oem/2023_chrysler_300_sedan_c_fq_oem_1_815.jpg,Chrysler  300
124,Chrysler, Pacifica,https://media.ed.edmunds-media.com/chrysler/pacifica/2023/oem/2023_chrysler_pacifica_passenger-minivan_hybrid-pinnacle_fq_oem_1_815.jpg,Chrysler  Pacifica
125,Dodge, Challenger,https://media.ed.edmunds-media.com/dodge/challenger/2023/oem/2023_dodge_challenger_coupe_gt_fq_oem_1_815.jpg,Dodge  Challenger
126,Dodge, Charger,https://media.ed.edmunds-media.com/dodge/charger/2023/oem/2023_dodge_charger_sedan_gt_fq_oem_1_815.jpg,Dodge  Charger
127,Dodge, Durango,https://media.ed.edmunds-media.com/dodge/durango/2023/oem/2023_dodge_durango_4dr-suv_citadel_fq_oem_1_815.jpg,Dodge  Durango
128,FIAT, 500X,https://media.ed.edmunds-media.com/fiat/500x/2022/oem/2022_fiat_500x_4dr-suv_pop_fq_oem_1_815.jpg,FIAT  500X
129,Ford, Bronco,https://media.ed.edmunds-media.com/ford/bronco/2023/oem/2023_ford_bronco_convertible-suv_badlands_fq_oem_5_815.jpg,Ford  Bronco
130,Ford, Bronco Sport,https://media.ed.edmunds-media.com/ford/bronco-sport/2023/oem/2023_ford_bronco-sport_4dr-suv_badlands_fq_oem_1_815.jpg,Ford  Bronco Sport
131,Ford, E-Transit Cargo Van,https://media.ed.edmunds-media.com/ford/e-transit-cargo-van/2022/oem/2022_ford_e-transit-cargo-van_cargo-van_350-high-roof_fq_oem_1_815.jpg,Ford  E-Transit Cargo Van
132,Ford, EcoSport,https://media.ed.edmunds-media.com/ford/ecosport/2022/oem/2022_ford_ecosport_4dr-suv_titanium_fq_oem_1_815.jpg,Ford  EcoSport
133,Ford, Edge,https://media.ed.edmunds-media.com/ford/edge/2022/oem/2022_ford_edge_4dr-suv_sel_fq_oem_1_815.jpg,Ford  Edge
134,Ford, Escape,https://media.ed.edmunds-media.com/ford/escape/2023/oem/2023_ford_escape_4dr-suv_plug-in-hybrid_fq_oem_1_815.jpg,Ford  Escape
135,Ford, Escape Plug-In Hybrid,https://media.ed.edmunds-media.com/ford/escape/2021/oem/2021_ford_escape_4dr-suv_se_fq_oem_1_815.jpg,Ford  Escape Plug-In Hybrid
136,Ford, Expedition,https://media.ed.edmunds-media.com/ford/expedition/2022/oem/2022_ford_expedition_4dr-suv_limited_fq_oem_1_815.jpg,Ford  Expedition
137,Ford, Explorer,https://media.ed.edmunds-media.com/ford/explorer/2021/oem/2021_ford_explorer_4dr-suv_king-ranch_fq_oem_1_815.jpg,Ford  Explorer
138,Ford, F-150,https://media.ed.edmunds-media.com/ford/f-150/2023/oem/2023_ford_f-150_crew-cab-pickup_lariat_fq_oem_3_815.jpg,Ford  F-150
139,Ford, F-150 Lightning,https://media.ed.edmunds-media.com/ford/f-150-lightning/2022/oem/2022_ford_f-150-lightning_crew-cab-pickup_lariat_fq_oem_1_815.jpg,Ford  F-150 Lightning
140,Ford, F-250 Super Duty,https://media.ed.edmunds-media.com/ford/f-250-super-duty/2020/oem/2020_ford_f-250-super-duty_crew-cab-pickup_lariat_fq_oem_1_815.jpg,Ford  F-250 Super Duty
141,Ford, F-350 Super Duty,https://media.ed.edmunds-media.com/ford/f-250-super-duty/2020/oem/2020_ford_f-250-super-duty_crew-cab-pickup_lariat_fq_oem_1_815.jpg,Ford  F-350 Super Duty
142,Ford, F-450 Super Duty,https://media.ed.edmunds-media.com/ford/f-450-super-duty/2020/oem/2020_ford_f-450-super-duty_crew-cab-pickup_limited_fq_oem_1_815.jpg,Ford  F-450 Super Duty
143,Ford, Maverick,https://media.ed.edmunds-media.com/ford/maverick/2022/oem/2022_ford_maverick_crew-cab-pickup_lariat_fq_oem_1_815.jpg,Ford  Maverick
144,Ford, Mustang,https://media.ed.edmunds-media.com/ford/mustang/2022/oem/2022_ford_mustang_coupe_ecoboost-premium_fq_oem_1_815.jpg,Ford  Mustang
145,Ford, Mustang Mach-E,https://media.ed.edmunds-media.com/ford/mustang-mach-e/2023/oem/2023_ford_mustang-mach-e_4dr-hatchback_base_fq_oem_1_815.jpg,Ford  Mustang Mach-E
146,Ford, Ranger,https://media.ed.edmunds-media.com/ford/ranger/2021/oem/2021_ford_ranger_crew-cab-pickup_lariat_fq_oem_1_815.jpg,Ford  Ranger
147,Ford, Shelby GT500,https://media.ed.edmunds-media.com/ford/shelby-gt500/2022/oem/2022_ford_shelby-gt500_coupe_base_fq_oem_5_815.jpg,Ford  Shelby GT500
148,Ford, Transit Cargo Van,https://media.ed.edmunds-media.com/ford/transit-cargo-van/2020/oem/2020_ford_transit-cargo-van_cargo-van_250-medium-roof_fq_oem_1_815.jpg,Ford  Transit Cargo Van
149,Ford, Transit Connect Cargo Van,https://media.ed.edmunds-media.com/ford/transit-connect-cargo-van/2022/oem/2022_ford_transit-connect-cargo-van_cargo-minivan_xlt_fq_oem_1_815.jpg,Ford  Transit Connect Cargo Van
150,Ford, Transit Connect Passenger Wagon,https://media.ed.edmunds-media.com/ford/transit-connect-passenger-wagon/2022/oem/2022_ford_transit-connect-passenger-wagon_passenger-minivan_wagon-xlt_fq_oem_1_815.jpg,Ford  Transit Connect Passenger Wagon
151,Ford, Transit Crew Van,https://media.ed.edmunds-media.com/ford/transit-passenger-van/2022/oem/2022_ford_transit-passenger-van_passenger-van_150-xlt-low-roof_fq_oem_1_815.jpg,Ford  Transit Crew Van
152,Ford, Transit Passenger Van,https://media.ed.edmunds-media.com/ford/transit-passenger-van/2022/oem/2022_ford_transit-passenger-van_passenger-van_150-xlt-low-roof_fq_oem_1_815.jpg,Ford  Transit Passenger Van
153,Genesis, G70,https://media.ed.edmunds-media.com/genesis/g70/2023/oem/2023_genesis_g70_sedan_33t_fq_oem_1_815.jpg,Genesis  G70
